Epoch,chi_Mean_0.235,chi_Mean_0.94
590,-17.344273,-16.413356
591,-17.364637,-16.439647
592,-17.341078,-16.401028
593,-17.405629,-16.407473
594,-17.331539,-16.369048
595,-17.378321,-16.354477
596,-17.317423,-16.404996
597,-17.349113,-16.389725
598,-17.397272,-16.429613
599,-17.384511,-16.362947
600,-17.381720,-16.356547
601,-17.403291,-16.407287
602,-17.397007,-16.368056
603,-17.387097,-16.309600
604,-17.361152,-16.332373
605,-17.390203,-16.376849
606,-17.347602,-16.327114
607,-17.338852,-16.364380
608,-17.414862,-16.344899
609,-17.410857,-16.371692
610,-17.405698,-16.429765
611,-17.429355,-16.401846
612,-17.367335,-16.437970
613,-17.359035,-16.435782
614,-17.368086,-16.383894
615,-17.387063,-16.359558
616,-17.364979,-16.413216
617,-17.417592,-16.419407
618,-17.397647,-16.445882
619,-17.330210,-16.428093
620,-17.376621,-16.354635
621,-17.287958,-16.357629
622,-17.370660,-16.388922
623,-17.358963,-16.366001
624,-17.368259,-16.435852
625,-17.395144,-16.380871
626,-17.383329,-16.358003
627,-17.364436,-16.383175
628,-17.307175,-16.397561
629,-17.386856,-16.391254
630,-17.391212,-16.510523
631,-17.444902,-16.467654
632,-17.261683,-16.431913
633,-17.276208,-16.412942
634,-17.287959,-16.412713
635,-17.337099,-16.386986
636,-17.398019,-16.404481
637,-17.387509,-16.410746
638,-17.342625,-16.404946
639,-17.344766,-16.318532
640,-17.363889,-16.439836
641,-17.381770,-16.451748
642,-17.374137,-16.413836
643,-17.446317,-16.461594
644,-17.471555,-16.355522
645,-17.360329,-16.366473
646,-17.417985,-16.392296
647,-17.429073,-16.443517
648,-17.357886,-16.416559
649,-17.406303,-16.464918
650,-17.339266,-16.375262
651,-17.348316,-16.424057
652,-17.353949,-16.373317
653,-17.344990,-16.420887
654,-17.382525,-16.424160
655,-17.415566,-16.432818
656,-17.358890,-16.372739
657,-17.381558,-16.429384
658,-17.343076,-16.401113
659,-17.361975,-16.456013
660,-17.431832,-16.481045
661,-17.293757,-16.435735
662,-17.353444,-16.427752
663,-17.362664,-16.367194
664,-17.430963,-16.389315
665,-17.400552,-16.458483
666,-17.361181,-16.410046
667,-17.362132,-16.319019
668,-17.327065,-16.404538
669,-17.356667,-16.372325
670,-17.340039,-16.432564
671,-17.399948,-16.393028
672,-17.362681,-16.338854
673,-17.411125,-16.363752
674,-17.429547,-16.362941
675,-17.305689,-16.348900
676,-17.415569,-16.373890
677,-17.418898,-16.341105
678,-17.354718,-16.376906
679,-17.370928,-16.349595
680,-17.393241,-16.384393
681,-17.348671,-16.387673
682,-17.413802,-16.367561
683,-17.343762,-16.355684
684,-17.341044,-16.385879
685,-17.386423,-16.373250
686,-17.370620,-16.325105
687,-17.331778,-16.370735
688,-17.375376,-16.344675
689,-17.270059,-16.396084
690,-17.352824,-16.393342
691,-17.358423,-16.407115
692,-17.383363,-16.400328
693,-17.387666,-16.442476
694,-17.351024,-16.410963
695,-17.347227,-16.360246
696,-17.352467,-16.384884
697,-17.383332,-16.428218
698,-17.321246,-16.424211
699,-17.340894,-16.359967
700,-17.415984,-16.285093
701,-17.356198,-16.344320
702,-17.376943,-16.387625
703,-17.394780,-16.341324
704,-17.345270,-16.353822
705,-17.425052,-16.374815
706,-17.351727,-16.417552
707,-17.336531,-16.372157
708,-17.349627,-16.396181
709,-17.345797,-16.403308
710,-17.351683,-16.403223
711,-17.377607,-16.373301
712,-17.341230,-16.341433
713,-17.370563,-16.341752
714,-17.397489,-16.345782
715,-17.298973,-16.348555
716,-17.278804,-16.341803
717,-17.341533,-16.371012
718,-17.393670,-16.350957
719,-17.327853,-16.402632
720,-17.390329,-16.330110
721,-17.354361,-16.361432
722,-17.347309,-16.334698
723,-17.333359,-16.367679
724,-17.378146,-16.367310
725,-17.335205,-16.357364
726,-17.404562,-16.346588
727,-17.283798,-16.375281
728,-17.330697,-16.376757
729,-17.350128,-16.347286
730,-17.369654,-16.359021
731,-17.384350,-16.396430
732,-17.335785,-16.311989
733,-17.324157,-16.401794
734,-17.321130,-16.340667
735,-17.372818,-16.363066
736,-17.350371,-16.378060
737,-17.308058,-16.386001
738,-17.323555,-16.333453
739,-17.294502,-16.330300
740,-17.319648,-16.391999
741,-17.278564,-16.361278
742,-17.307185,-16.330546
743,-17.276429,-16.382141
744,-17.359593,-16.322367
745,-17.300111,-16.382762
746,-17.356477,-16.361274
747,-17.386030,-16.434469
748,-17.351678,-16.450495
749,-17.405940,-16.377625
750,-17.394823,-16.379404
751,-17.327908,-16.332990
752,-17.377155,-16.321709
753,-17.326719,-16.330307
754,-17.348228,-16.339380
755,-17.302143,-16.398152
756,-17.348206,-16.297528
757,-17.304912,-16.348666
758,-17.304603,-16.381905
759,-17.251599,-16.299178
760,-17.320882,-16.357535
761,-17.299284,-16.289360
762,-17.318572,-16.309114
763,-17.284525,-16.313511
764,-17.311487,-16.388151
765,-17.265842,-16.286773
766,-17.287165,-16.334916
767,-17.309988,-16.273733
768,-17.291921,-16.354296
769,-17.326149,-16.354354
770,-17.318399,-16.344852
771,-17.313117,-16.303820
772,-17.256587,-16.276435
773,-17.314766,-16.334634
774,-17.300006,-16.344962
775,-17.292819,-16.362193
776,-17.325191,-16.395162
777,-17.278068,-16.415110
778,-17.279822,-16.312513
779,-17.265368,-16.394329
780,-17.282401,-16.320365
781,-17.305179,-16.432687
782,-17.300555,-16.326558
783,-17.275172,-16.376794
784,-17.319440,-16.294574
785,-17.279114,-16.332692
786,-17.312579,-16.322497
787,-17.275471,-16.404577
788,-17.386157,-16.311462
789,-17.310857,-16.359870
790,-17.334933,-16.322937
791,-17.325769,-16.345621
792,-17.276962,-16.349404
793,-17.297767,-16.277065
794,-17.315947,-16.326320
795,-17.282671,-16.298997
796,-17.380645,-16.331701
797,-17.306213,-16.328426
798,-17.292659,-16.352694
799,-17.304437,-16.346856
800,-17.315514,-16.385647
801,-17.358438,-16.298082
802,-17.269790,-16.334062
803,-17.235353,-16.367794
804,-17.292947,-16.381011
805,-17.261946,-16.364449
806,-17.272575,-16.372903
807,-17.370743,-16.319739
808,-17.356923,-16.309580
809,-17.288109,-16.279738
810,-17.277687,-16.366862
811,-17.301094,-16.343225
812,-17.296621,-16.272538
813,-17.321240,-16.294963
814,-17.321584,-16.261300
815,-17.283053,-16.321854
816,-17.343696,-16.344441
817,-17.319820,-16.321664
818,-17.251668,-16.313434
819,-17.341871,-16.319368
820,-17.232146,-16.328097
821,-17.298372,-16.313302
822,-17.278324,-16.247611
823,-17.323585,-16.303986
824,-17.264929,-16.297154
825,-17.315475,-16.253032
826,-17.290776,-16.274357
827,-17.240218,-16.234540
828,-17.338564,-16.257504
829,-17.302254,-16.239608
830,-17.347311,-16.318809
831,-17.295410,-16.307901
832,-17.303086,-16.336513
833,-17.388637,-16.264231
834,-17.314812,-16.313136
835,-17.221991,-16.238696
836,-17.285792,-16.208304
837,-17.307801,-16.348949
838,-17.294552,-16.252608
839,-17.255947,-16.269994
840,-17.299304,-16.311013
841,-17.275863,-16.271027
842,-17.278852,-16.308706
843,-17.260218,-16.288206
844,-17.233623,-16.317415
845,-17.274275,-16.245872
846,-17.253768,-16.252426
847,-17.287818,-16.365181
848,-17.332190,-16.350195
849,-17.250956,-16.370378
850,-17.315483,-16.254890
851,-17.284231,-16.333229
852,-17.283208,-16.304371
853,-17.257013,-16.297514
854,-17.265542,-16.355291
855,-17.324385,-16.315434
856,-17.235381,-16.293546
857,-17.262941,-16.353249
858,-17.271505,-16.385074
859,-17.235095,-16.322874
860,-17.259968,-16.295420
861,-17.255007,-16.307054
862,-17.233023,-16.327443
863,-17.309857,-16.289363
864,-17.310967,-16.341563
865,-17.231887,-16.312857
866,-17.301640,-16.275709
867,-17.313804,-16.276357
868,-17.266589,-16.293743
869,-17.264386,-16.270781
870,-17.220368,-16.274752
871,-17.252321,-16.361249
872,-17.231396,-16.337776
873,-17.251340,-16.318478
874,-17.290602,-16.340563
875,-17.297605,-16.319237
876,-17.339812,-16.309461
877,-17.261221,-16.298084
878,-17.265549,-16.274518
879,-17.316345,-16.349687
880,-17.232780,-16.311271
881,-17.210068,-16.257673
882,-17.260323,-16.321978
883,-17.246054,-16.297371
884,-17.292358,-16.299476
885,-17.275355,-16.323881
886,-17.289906,-16.289061
887,-17.278683,-16.261535
888,-17.268879,-16.253636
889,-17.317330,-16.274205
890,-17.268358,-16.301691
891,-17.256547,-16.220312
892,-17.271198,-16.338626
893,-17.228946,-16.310467
894,-17.267681,-16.277772
895,-17.286006,-16.245262
896,-17.294356,-16.297075
897,-17.254433,-16.217598
898,-17.264276,-16.245570
