beta,q_v,q_h,r_v,q_v_hat,q_h_hat,r_v_hat,iter
1.7200,1.2863731626e-182,1.2863731630e-182,1.0000000000e+00,1.9028031827e-182,1.9028031822e-182,2.5000000000e-33,1.0
1.7300,1.9028031827e-182,1.9028031827e-182,1.0000000000e+00,2.8474498227e-182,2.8474498227e-182,2.5000000000e-33,1.0
1.7400,2.8474498227e-182,2.8474498235e-182,1.0000000000e+00,4.3104695429e-182,4.3104695417e-182,2.5000000000e-33,1.0
1.7500,4.3104695429e-182,4.3104695429e-182,1.0000000000e+00,6.6004064875e-182,6.6004064875e-182,2.5000000000e-33,1.0
1.7600,6.6004064875e-182,6.6004064893e-182,1.0000000000e+00,1.0222709571e-181,1.0222709568e-181,2.5000000000e-33,1.0
1.7700,1.0222709571e-181,1.0222709571e-181,1.0000000000e+00,1.6013363407e-181,1.6013363407e-181,2.5000000000e-33,1.0
1.7800,1.6013363407e-181,1.6013363411e-181,1.0000000000e+00,2.5368370316e-181,2.5368370309e-181,2.5000000000e-33,1.0
1.7900,2.5368370316e-181,2.5368370316e-181,1.0000000000e+00,4.0641397665e-181,4.0641397665e-181,2.5000000000e-33,1.0
1.8000,4.0641397665e-181,4.0641397677e-181,1.0000000000e+00,6.5839064236e-181,6.5839064218e-181,2.5000000000e-33,1.0
1.8100,6.5839064236e-181,6.5839064236e-181,1.0000000000e+00,1.0784767917e-180,1.0784767917e-180,2.5000000000e-33,1.0
1.8200,1.0784767917e-180,1.0784767920e-180,1.0000000000e+00,1.7861732629e-180,1.7861732624e-180,2.5000000000e-33,1.0
1.8300,1.7861732629e-180,1.7861732629e-180,1.0000000000e+00,2.9908578201e-180,2.9908578201e-180,2.5000000000e-33,1.0
1.8400,2.9908578201e-180,2.9908578210e-180,1.0000000000e+00,5.0629241193e-180,5.0629241179e-180,2.5000000000e-33,1.0
1.8500,5.0629241193e-180,5.0629241193e-180,1.0000000000e+00,8.6639288992e-180,8.6639288992e-180,2.5000000000e-33,1.0
1.8600,8.6639288992e-180,8.6639289016e-180,1.0000000000e+00,1.4986864214e-179,1.4986864210e-179,2.5000000000e-33,1.0
1.8700,1.4986864214e-179,1.4986864214e-179,1.0000000000e+00,2.6203782735e-179,2.6203782735e-179,2.5000000000e-33,1.0
1.8800,2.6203782735e-179,2.6203782742e-179,1.0000000000e+00,4.6307324862e-179,4.6307324849e-179,2.5000000000e-33,1.0
1.8900,4.6307324862e-179,4.6307324862e-179,1.0000000000e+00,8.2707197569e-179,8.2707197569e-179,2.5000000000e-33,1.0
1.9000,8.2707197569e-179,8.2707197592e-179,1.0000000000e+00,1.4928649165e-178,1.4928649161e-178,2.5000000000e-33,1.0
1.9100,1.4928649165e-178,1.4928649165e-178,1.0000000000e+00,2.7230602510e-178,2.7230602510e-178,2.5000000000e-33,1.0
1.9200,2.7230602510e-178,2.7230602518e-178,1.0000000000e+00,5.0191446561e-178,5.0191446547e-178,2.5000000000e-33,1.0
1.9300,5.0191446561e-178,5.0191446561e-178,1.0000000000e+00,9.3479059647e-178,9.3479059647e-178,2.5000000000e-33,1.0
1.9400,9.3479059647e-178,9.3479059673e-178,1.0000000000e+00,1.7590889449e-177,1.7590889444e-177,2.5000000000e-33,1.0
1.9500,1.7590889449e-177,1.7590889449e-177,1.0000000000e+00,3.3444678565e-177,3.3444678565e-177,2.5000000000e-33,1.0
1.9600,3.3444678565e-177,3.3444678575e-177,1.0000000000e+00,6.4240538606e-177,6.4240538588e-177,2.5000000000e-33,1.0
1.9700,6.4240538606e-177,6.4240538606e-177,1.0000000000e+00,1.2465555314e-176,1.2465555314e-176,2.5000000000e-33,1.0
1.9800,1.2465555314e-176,1.2465555317e-176,1.0000000000e+00,2.4434981533e-176,2.4434981526e-176,2.5000000000e-33,1.0
1.9900,2.4434981533e-176,2.4434981533e-176,1.0000000000e+00,4.8382485184e-176,4.8382485184e-176,2.5000000000e-33,1.0
