alpha,beta,q_v,q_h,q_v_hat,q_h_hat,chi_vh
0.5,1.1300,1.4865467847e-01,1.0916427120e-01,4.6463952632e-02,1.2654477262e-01,1.99144e-02
0.5,1.1400,1.6322245524e-01,1.1862135261e-01,5.1386769951e-02,1.4141593522e-01,1.94261e-02
0.5,1.1500,1.7890882007e-01,1.2860376114e-01,5.6692824702e-02,1.5773794303e-01,1.87877e-02
0.5,1.1600,1.9564467610e-01,1.3903257025e-01,6.2360742178e-02,1.7550631744e-01,1.80358e-02
0.5,1.1700,2.1334914510e-01,1.4982510219e-01,6.8365194131e-02,1.9470242982e-01,1.72080e-02
0.5,1.1800,2.3193677155e-01,1.6090035999e-01,7.4679220416e-02,2.1529917381e-01,1.63384e-02
0.5,1.1900,2.5132308669e-01,1.7218283529e-01,8.1276037683e-02,2.3726574871e-01,1.54557e-02
1.0,0.0000,1.0000000000e-02,9.9337091526e-03,4.9668545763e-35,5.0000000000e-35,4.93390e-35
1.0,0.0100,1.0001496834e-02,9.9341895046e-03,4.9670947523e-07,5.0007484171e-07,4.93438e-07
1.0,0.0200,1.0005979180e-02,9.9356314163e-03,1.9871262833e-06,2.0011958359e-06,1.97433e-06
1.0,0.0300,1.0013442409e-02,9.9380374512e-03,4.4721168531e-06,4.5060490841e-06,4.44441e-06
1.0,0.0400,1.0023895362e-02,9.9414118866e-03,7.9531295093e-06,8.0191162898e-06,7.90656e-06
1.0,0.0500,1.0037350436e-02,9.9457607256e-03,1.2432200907e-05,1.2546688045e-05,1.23648e-05
1.0,0.0600,1.0053823622e-02,9.9510917151e-03,1.7911965087e-05,1.8096882519e-05,1.78245e-05
1.0,0.0700,1.0073334554e-02,9.9574143685e-03,2.4395665203e-05,2.4679669657e-05,2.42919e-05
1.0,0.0800,1.0095906565e-02,9.9647399938e-03,3.1887167980e-05,3.2306901009e-05,3.17747e-05
1.0,0.0900,1.0121566761e-02,9.9730817274e-03,4.0390980996e-05,4.0992345380e-05,4.02818e-05
1.0,0.1000,1.0150346094e-02,9.9824545722e-03,4.9912272861e-05,5.0751730468e-05,4.98233e-05
1.0,0.1100,1.0182279464e-02,9.9928754441e-03,6.0456896437e-05,6.1602790756e-05,6.04105e-05
