alpha,c_initial,beta,epoch,mean_log_likelihood
0.5,0.001,7.36,650,-2.1646610628080367
0.5,0.001,7.36,660,-2.1646817585778124
0.5,0.001,7.36,670,-2.163173945445456
0.5,0.001,7.36,680,-2.162939824532833
0.5,0.001,7.36,690,-2.163411408061371
0.5,0.001,7.36,700,-2.161629777581532
0.5,0.001,7.36,710,-2.162014318112392
0.5,0.001,7.36,720,-2.1620209275577533
0.5,0.001,7.36,730,-2.160249615070649
0.5,0.001,7.36,740,-2.1607087129610854
0.5,0.001,7.36,750,-2.161004259257693
0.5,0.001,7.36,760,-2.1612101271459347
0.5,0.001,7.36,770,-2.160818398760611
0.5,0.001,7.36,780,-2.16000586842806
0.5,0.001,7.36,790,-2.159768938888928
0.5,0.001,7.36,800,-2.161109770584172
0.5,0.001,7.36,810,-2.158894041320017
0.5,0.001,7.36,820,-2.158881735423736
0.5,0.001,7.36,830,-2.158740573455789
0.5,0.001,7.36,840,-2.158305950888784
0.5,0.001,7.36,850,-2.1582427698187705
0.5,0.001,7.36,860,-2.156643041697759
0.5,0.001,7.36,870,-2.157234038722587
0.5,0.001,7.36,880,-2.157053935095641
0.5,0.001,7.36,890,-2.1566560886201547
0.5,0.001,7.36,900,-2.157878253186998
0.5,0.001,7.36,910,-2.1573066276287793
0.5,0.001,7.36,920,-2.1577300604915832
0.5,0.001,7.36,930,-2.157500068760317
0.5,0.001,7.36,940,-2.1574384803094566
0.5,0.001,7.36,950,-2.155825842690112
0.5,0.001,7.36,960,-2.1569036536507973
0.5,0.001,7.36,970,-2.156523197711579
0.5,0.001,7.36,980,-2.156302197351362
0.5,0.001,7.36,990,-2.1559071947274075
0.5,0.001,7.36,1000,-2.1552359914397616
0.5,0.001,7.36,1010,-2.154818776343436
0.5,0.001,7.36,1020,-2.1555533561763944
0.5,0.001,7.36,1030,-2.1569443607873957
0.5,0.001,7.36,1040,-2.1555849158460525
0.5,0.001,7.36,1050,-2.1564768349397494
0.5,0.001,7.36,1060,-2.15622385110646
0.5,0.001,7.36,1070,-2.1554441566283176
0.5,0.001,7.36,1080,-2.153806069955627
0.5,0.001,7.36,1090,-2.155278884465893
0.5,0.001,7.36,1100,-2.155772435720931
0.5,0.001,7.36,1110,-2.1553309330132886
0.5,0.001,7.36,1120,-2.1554905611228596
0.5,0.001,7.36,1130,-2.155841015500065
0.5,0.001,7.36,1140,-2.155600346538338
0.5,0.001,7.36,1150,-2.1546541628688205
0.5,0.001,7.36,1160,-2.154598551617676
0.5,0.001,7.36,1170,-2.1561992985336844
0.5,0.001,7.36,1180,-2.1547017560392603
0.5,0.001,7.36,1190,-2.156641533694547
0.5,0.001,7.36,1200,-2.1570664324921225
0.5,0.001,7.36,1210,-2.155069703679291
0.5,0.001,7.36,1220,-2.1549462505377415
0.5,0.001,7.36,1230,-2.154519321498922
0.5,0.001,7.36,1240,-2.154768962587506
0.5,0.001,7.36,1250,-2.155635354230771
0.5,0.001,7.36,1260,-2.1545941122869188
0.5,0.001,7.36,1270,-2.154893162208071
0.5,0.001,7.36,1280,-2.153389170235355
0.5,0.001,7.36,1290,-2.155286029818723
0.5,0.001,7.36,1300,-2.1545559932845673
0.5,0.001,7.36,1310,-2.155365324406095
0.5,0.001,7.36,1320,-2.154857042629065
0.5,0.001,7.36,1330,-2.154297269247966
0.5,0.001,7.36,1340,-2.155263520562753
0.5,0.001,7.36,1350,-2.1535958014003507
0.5,0.001,7.36,1360,-2.1533378285502884
0.5,0.001,7.36,1370,-2.1542898253954674
0.5,0.001,7.36,1380,-2.1542942956533384
0.5,0.001,7.36,1390,-2.15343300856991
0.5,0.001,7.36,1400,-2.1530199010494475
0.5,0.001,7.36,1410,-2.1537141058565976
0.5,0.001,7.36,1420,-2.154121448517451
0.5,0.001,7.36,1430,-2.15445118297763
0.5,0.001,7.36,1440,-2.1534544824149853
0.5,0.001,7.36,1450,-2.154537016370634
0.5,0.001,7.36,1460,-2.154046303716566
0.5,0.001,7.36,1470,-2.155114972862179
0.5,0.001,7.36,1480,-2.154231921886423
0.5,0.001,7.36,1490,-2.1540899350479585
0.5,0.001,7.36,1500,-2.1552771761763516
0.5,0.001,7.36,1510,-2.1537150264984546
0.5,0.001,7.36,1520,-2.1539794256790303
0.5,0.001,7.36,1530,-2.153781093126627
0.5,0.001,7.36,1540,-2.153895976076664
0.5,0.001,7.36,1550,-2.1535431215032275
0.5,0.001,7.36,1560,-2.1534980783441555
0.5,0.001,7.36,1570,-2.1540260632830623
0.5,0.001,7.36,1580,-2.1540179401556294
0.5,0.001,7.36,1590,-2.1542242798547733
0.5,0.001,7.36,1600,-2.1552082625704667
0.5,0.001,7.36,1610,-2.15416815040924
0.5,0.001,7.36,1620,-2.1555209569946485
0.5,0.001,7.36,1630,-2.1541945342108813
0.5,0.001,7.36,1640,-2.1559299485526533
0.5,0.001,7.36,1650,-2.1539942568500585
0.5,0.001,7.36,1660,-2.154501946803094
0.5,0.001,7.36,1670,-2.1543003760713124
0.5,0.001,7.36,1680,-2.1533767175866676
0.5,0.001,7.36,1690,-2.152928837827287
0.5,0.001,7.36,1700,-2.1539828302351607
0.5,0.001,7.36,1710,-2.153153542119217
0.5,0.001,7.36,1720,-2.153333299400519
0.5,0.001,7.36,1730,-2.1537350745899704
0.5,0.001,7.36,1740,-2.1545916759426227
0.5,0.001,7.36,1750,-2.1533258485543367
0.5,0.001,7.36,1760,-2.1551762311964477
